,time,x_calc,x,y_calc,y,z_calc,z,yaw_calc,yaw
0,1683540185.8266268,0.0,-0.0539033871680185,0.0,0.0017027883186883795,0.0,0.020050756667467556,0.0,0.058803852812891515
1,1683540185.827955,0.0,-0.053897710693053276,0.0,0.001701411877290192,0.0,0.019213016550152187,0.0,0.05880425713711526
2,1683540185.8289135,0.0,-0.053899968268204014,0.0,0.0017020941655205286,0.0,0.020092238685157734,0.0,0.05880571035429857
3,1683540185.830215,0.0,-0.053901076277976426,0.0,0.0017024021535275735,0.0,0.020086766084893494,0.0,0.05880685736367474
4,1683540185.831965,0.0,-0.05390177925239218,0.0,0.0017030308364494018,0.0,0.019198153806382734,0.0,0.058808717931978956
5,1683540185.8336174,0.0,-0.053903617593255265,0.0,0.0017030732748912585,0.0,0.019184866575721465,0.0,0.05881140663541603
6,1683540185.835773,0.0,-0.053904881601197704,0.0,0.0017026430385231263,0.0,0.02006082824196225,0.0,0.05881213014039008
7,1683540185.8373833,0.0,-0.05390834763077652,0.0,0.0017029157410349673,0.0,0.020036341511010206,0.0,0.0588172759439716
8,1683540185.8384454,0.0,-0.05391778008488699,0.0,0.0017028526333740773,0.0,0.02005011006832367,0.0,0.058818776565964105
9,1683540185.839884,0.0,-0.05391190726217317,0.0,0.0017001094415748923,0.0,0.019205968639614573,0.0,0.05881877600125102
10,1683540185.8416,0.0,-0.05391301642096607,0.0,0.0017022775008796755,0.0,0.01921468106122256,0.0,0.05881997714709076
11,1683540185.8427577,0.0,-0.05391655255966418,0.0,0.0017025310469771366,0.0,0.020081113183118615,0.0,0.0588229971188768
12,1683540185.8438432,0.0,-0.05391716264328311,0.0,0.0017030521998987569,0.0,0.019192216187630326,0.0,0.05882492678264714
13,1683540185.8446639,0.0,-0.05391894899375943,0.0,0.0017030885957277765,0.0,0.01917912865020603,0.0,0.058827596537836126
14,1683540185.8456233,0.0,-0.05392107732373553,0.0,0.0017027185411427187,0.0,0.02004896012715026,0.0,0.05882960256643837
15,1683540185.8466058,0.0,-0.05392280273961691,0.0,0.0017028978389009503,0.0,0.020037012372550254,0.0,0.058832139224671606
16,1683540185.8476079,0.0,-0.053922405300256854,0.0,0.0017033284304490406,0.0,0.01915438355243733,0.0,0.05883272884843203
17,1683540185.8499513,0.0,-0.0539380689951412,0.0,0.0017024726260238753,0.0,0.019979693197114914,0.0,0.0588352525114384
18,1683540185.8514261,0.0,-0.05393029519045314,0.0,0.0017011698869378348,0.0,0.02008730766565759,0.0,0.05883490694791394
19,1683540185.852718,0.0,-0.053926707155778526,0.0,0.0017014431927537125,0.0,0.019213016139650874,0.0,0.058835327885778096
20,1683540185.853654,0.0,-0.05392870051521803,0.0,0.0017027847800476924,0.0,0.019210526773322634,0.0,0.05883723381491438
21,1683540185.8544083,0.0,-0.05393111130451247,0.0,0.0017025682286796566,0.0,0.020080405081424273,0.0,0.058839199906461484
22,1683540185.855233,0.0,-0.05393207557695801,0.0,0.0017026223936114691,0.0,0.020073830295971068,0.0,0.05884052727278636
23,1683540185.8563328,0.0,-0.05393261416274677,0.0,0.00170310441370354,0.0,0.01918486601874314,0.0,0.05884247733454572
24,1683540185.857316,0.0,-0.05393436540451705,0.0,0.0017031557917544862,0.0,0.01917198064303388,0.0,0.05884511430288831
25,1683540185.8582692,0.0,-0.05393648456449477,0.0,0.0017028315176299106,0.0,0.020042141376261105,0.0,0.05884708778651322
26,1683540185.859314,0.0,-0.053937623506206595,0.0,0.001703060238937474,0.0,0.020008766950943876,0.0,0.058849588148700616
